Hex,Character,Name,Braille
03B7+0313+0301+0345,ᾔ,eta with psili and oxia,⠴⠿⠔
03B7+0313+0301,ἤ,eta with psili and oxia,⠴⠿
03B7+0313+0342+0345,ᾖ,eta with psili and perispomeni,⠴⠣⠔
03B7+0313+0342,ἦ,eta with psili and perispomeni,⠴⠣
03B7+0313+0345,ᾐ,eta with psili,⠴⠱⠔
03B7+0313,ἠ,eta with psili,⠴⠱
03B7+0314+0300+0345,ᾓ,eta with dasia and varia,⠓⠮⠔
03B7+0314+0300,ἣ,eta with dasia and varia,⠓⠮
03B7+0314+0301+0345,ᾕ,eta with dasia and oxia,⠓⠿⠔
03B7+0314+0301,ἥ,eta with dasia and oxia,⠓⠿
03B7+0314+0342+0345,ᾗ,eta with dasia and perispomeni,⠓⠣⠔
03B7+0314+0342,ἧ,eta with dasia and perispomeni,⠓⠣
03B7+0314+0345,ᾑ,eta with dasia,⠓⠱⠔
03B7+0314,ἡ,eta with dasia,⠓⠱
03B7+0342+0345,ῇ,eta with perispomeni,⠣⠔
03B7+0342,ῆ,eta with perispomeni,⠣
03B7+0345,ῃ,eta,⠱⠔
03B7,η,eta,⠱
03B8,θ,theta,⠹
03B9+0300+0345,ὶͅ,iota with varia,⠌⠔
03B9+0300,ὶ,iota with varia,⠌
03B9+0301+0345,ίͅ,iota with oxia,⠔
03B9+0301,ί,iota with oxia,
03B9+0313+0300+0345,ἲͅ,iota with psili and varia,⠴⠌⠔
03B9+0313+0300,ἲ,iota with psili and varia,⠴⠌
03B9+0313+0301+0345,ἴͅ,iota with psili and oxia,⠴⠔
03B9+0313+0301,ἴ,iota with psili and oxia,⠴
03B9+0313+0342+0345,ἶͅ,iota with psili and perispomeni,⠴⠩⠔
03B9+0313+0342,ἶ,iota with psili and perispomeni,⠴⠩
03B9+0313+0345,ἰͅ,iota with psili,⠴⠊⠔
03B9+0313,ἰ,iota with psili,⠴⠊
03B9+0314+0300+0345,ἳͅ,iota with dasia and varia,⠓⠌⠔
03B9+0314+0300,ἳ,iota with dasia and varia,⠓⠌
03B9+0314+0301+0345,ἵͅ,iota with dasia and oxia,⠓⠔
03B9+0314+0301,ἵ,iota with dasia and oxia,⠓
03B9+0314+0342+0345,ἷͅ,iota with dasia and perispomeni,⠓⠩⠔
03B9+0314+0342,ἷ,iota with dasia and perispomeni,⠓⠩
03B9+0314+0345,ἱͅ,iota with dasia,⠓⠊⠔
03B9+0314,ἱ,iota with dasia,⠓⠊
03B9+0342+0345,ῖͅ,iota with perispomeni,⠩⠔
03B9+0342,ῖ,iota with perispomeni,⠩
03B9+0345,ιͅ,iota,⠊⠔
03B9,ι,iota,⠊
03BA,κ,kappa,⠅
03BB,λ,lambda,⠇
03BC,μ,mu,⠍
03BD,ν,nu,⠝
03BE,ξ,xi,⠭
03BF+0300+0345,ὸͅ,omnichron with varia,⠔
03BF+0300,ὸ,omnichron with varia,⠬
03BF+0301+0345,όͅ,omnichron with oxia,⠪⠔
03BF+0301,ό,omnichron with oxia,⠪
03BF+0313+0300+0345,ὂͅ,omnichron with psili and varia,⠴⠬⠔
03BF+0313+0300,ὂ,omnichron with psili and varia,⠴⠬
03BF+0313+0301+0345,ὄͅ,omnichron with psili and oxia,⠴⠪⠔
03BF+0313+0301,ὄ,omnichron with psili and oxia,⠴⠪
03BF+0313+0345,ὀͅ,omnichron with psili,⠴⠕⠔
03BF+0313,ὀ,omnichron with psili,⠴⠕
03BF+0314+0300+0345,ὃͅ,omnichron with dasia and varia,⠓⠬⠔
03BF+0314+0300,ὃ,omnichron with dasia and varia,⠓⠬
03BF+0314+0301+0345,ὅͅ,omnichron with dasia and oxia,⠓⠪⠔
03BF+0314+0301,ὅ,omnichron with dasia and oxia,⠓⠪
03BF+0314+0345,ὁͅ,omnichron with dasia,⠓⠕⠔
03BF+0314,ὁ,omnichron with dasia,⠓⠕
03BF+0345,οͅ,omnichron,⠕⠔
03BF+0390+0345,οΐͅ,omnichron and iota with oxia and dialytika,⠕⠔
03BF+0390,οΐ,omnichron and iota with oxia and dialytika,⠕
03BF+03AF+0345,οίͅ,omnichron iota with oxia,⠕⠔
03BF+03AF,οί,omnichron iota with oxia,⠕
03BF+03B0+0345,οΰͅ,omnichron upsilon with dialytika and oxia,⠕⠳⠔
03BF+03B0,οΰ,omnichron upsilon with dialytika and oxia,⠕⠳
