Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒊉,74377,𒊉,12289,letter,CUNEIFORM SIGN PI CROSSING PI,⠏⠊⠯⠏⠊
𒊊,74378,𒊊,1228A,letter,CUNEIFORM SIGN PIRIG,⠏⠊⠗⠊⠛
𒊋,74379,𒊋,1228B,letter,CUNEIFORM SIGN PIRIG TIMES KAL,⠏⠊⠗⠊⠛⠡⠅⠁⠇
𒊌,74380,𒊌,1228C,letter,CUNEIFORM SIGN PIRIG TIMES UD,⠏⠊⠗⠊⠛⠡⠥⠙
𒊍,74381,𒊍,1228D,letter,CUNEIFORM SIGN PIRIG TIMES ZA,⠏⠊⠗⠊⠛⠡⠵⠁
𒊎,74382,𒊎,1228E,letter,CUNEIFORM SIGN PIRIG OPPOSING PIRIG,⠏⠊⠗⠊⠛⠫⠏⠊⠗⠊⠛
𒊏,74383,𒊏,1228F,letter,CUNEIFORM SIGN RA,⠗⠁
𒊐,74384,𒊐,12290,letter,CUNEIFORM SIGN RAB,⠗⠁⠃
𒊑,74385,𒊑,12291,letter,CUNEIFORM SIGN RI,⠗⠊
𒊒,74386,𒊒,12292,letter,CUNEIFORM SIGN RU,⠗⠥
𒊓,74387,𒊓,12293,letter,CUNEIFORM SIGN SA,⠎⠁
𒊔,74388,𒊔,12294,letter,CUNEIFORM SIGN SAG NUTILLU,⠎⠁⠛ ⠝⠥⠞⠊⠇⠇⠥
𒊕,74389,𒊕,12295,letter,CUNEIFORM SIGN SAG,⠎⠁⠛
𒊖,74390,𒊖,12296,letter,CUNEIFORM SIGN SAG TIMES A,⠎⠁⠛⠡⠁
𒊗,74391,𒊗,12297,letter,CUNEIFORM SIGN SAG TIMES DU,⠎⠁⠛⠡⠙⠥
𒊘,74392,𒊘,12298,letter,CUNEIFORM SIGN SAG TIMES DUB,⠎⠁⠛⠡⠙⠥⠃
𒊙,74393,𒊙,12299,letter,CUNEIFORM SIGN SAG TIMES HA,⠎⠁⠛⠡⠓⠁
𒊚,74394,𒊚,1229A,letter,CUNEIFORM SIGN SAG TIMES KAK,⠎⠁⠛⠡⠅⠁⠅
𒊛,74395,𒊛,1229B,letter,CUNEIFORM SIGN SAG TIMES KUR,⠎⠁⠛⠡⠅⠥⠗
𒊜,74396,𒊜,1229C,letter,CUNEIFORM SIGN SAG TIMES LUM,⠎⠁⠛⠡⠇⠥⠍
𒊝,74397,𒊝,1229D,letter,CUNEIFORM SIGN SAG TIMES MI,⠎⠁⠛⠡⠍⠊
𒊞,74398,𒊞,1229E,letter,CUNEIFORM SIGN SAG TIMES NUN,⠎⠁⠛⠡⠝⠥⠝
𒊟,74399,𒊟,1229F,letter,CUNEIFORM SIGN SAG TIMES SAL,⠎⠁⠛⠡⠎⠁⠇
𒊠,74400,𒊠,122A0,letter,CUNEIFORM SIGN SAG TIMES SHID,⠎⠁⠛⠡⠩⠊⠙
𒊡,74401,𒊡,122A1,letter,CUNEIFORM SIGN SAG TIMES TAB,⠎⠁⠛⠡⠞⠁⠃
𒊢,74402,𒊢,122A2,letter,CUNEIFORM SIGN SAG TIMES U2,⠎⠁⠛⠡⠥
𒊣,74403,𒊣,122A3,letter,CUNEIFORM SIGN SAG TIMES UB,⠎⠁⠛⠡⠥⠃
𒊤,74404,𒊤,122A4,letter,CUNEIFORM SIGN SAG TIMES UM,⠎⠁⠛⠡⠥⠍
𒊥,74405,𒊥,122A5,letter,CUNEIFORM SIGN SAG TIMES UR,⠎⠁⠛⠡⠥⠗
𒊦,74406,𒊦,122A6,letter,CUNEIFORM SIGN SAG TIMES USH,⠎⠁⠛⠡⠥⠩
𒊧,74407,𒊧,122A7,letter,CUNEIFORM SIGN SAG OVER SAG,⠎⠁⠛⠌⠎⠁⠛
𒊨,74408,𒊨,122A8,letter,CUNEIFORM SIGN SAG GUNU,⠎⠁⠛ ⠛⠥⠝⠥
𒊩,74409,𒊩,122A9,letter,CUNEIFORM SIGN SAL,⠎⠁⠇
𒊪,74410,𒊪,122AA,letter,CUNEIFORM SIGN SAL LAGAB TIMES ASH2,⠎⠁⠇ ⠇⠁⠛⠁⠃⠡⠁⠩
𒊫,74411,𒊫,122AB,letter,CUNEIFORM SIGN SANGA2,⠎⠁⠝⠛⠁
𒊬,74412,𒊬,122AC,letter,CUNEIFORM SIGN SAR,⠎⠜
𒊭,74413,𒊭,122AD,letter,CUNEIFORM SIGN SHA,⠩⠁
𒊮,74414,𒊮,122AE,letter,CUNEIFORM SIGN SHA3,⠩⠁⠒
𒊯,74415,𒊯,122AF,letter,CUNEIFORM SIGN SHA3 TIMES A,⠩⠁⠒⠡⠁
𒊰,74416,𒊰,122B0,letter,CUNEIFORM SIGN SHA3 TIMES BAD,⠩⠁⠒⠡⠃⠁⠙
𒊱,74417,𒊱,122B1,letter,CUNEIFORM SIGN SHA3 TIMES GISH,⠩⠁⠒⠡⠛⠊⠩
𒊲,74418,𒊲,122B2,letter,CUNEIFORM SIGN SHA3 TIMES NE,⠩⠁⠒⠡⠝⠑
𒊳,74419,𒊳,122B3,letter,CUNEIFORM SIGN SHA3 TIMES SHU2,⠩⠁⠒⠡⠩⠥
𒊴,74420,𒊴,122B4,letter,CUNEIFORM SIGN SHA3 TIMES TUR,⠩⠁⠒⠡⠞⠥⠗
𒊵,74421,𒊵,122B5,letter,CUNEIFORM SIGN SHA3 TIMES U,⠩⠁⠒⠡⠥
𒊶,74422,𒊶,122B6,letter,CUNEIFORM SIGN SHA3 TIMES U PLUS A,⠩⠁⠒⠡⠥⠬⠁
𒊷,74423,𒊷,122B7,letter,CUNEIFORM SIGN SHA6,⠩⠁⠖
𒊸,74424,𒊸,122B8,letter,CUNEIFORM SIGN SHAB6,⠩⠁⠃⠖
𒊹,74425,𒊹,122B9,letter,CUNEIFORM SIGN SHAR2,⠩⠜
𒊺,74426,𒊺,122BA,letter,CUNEIFORM SIGN SHE,⠩⠑
𒊻,74427,𒊻,122BB,letter,CUNEIFORM SIGN SHE HU,⠩⠑ ⠓⠥
𒊼,74428,𒊼,122BC,letter,CUNEIFORM SIGN SHE OVER SHE GAD OVER GAD GAR OVER GAR,⠩⠑⠌⠩⠑ ⠛⠁⠙⠌⠛⠁⠙ ⠛⠜⠌⠛⠜
𒊽,74429,𒊽,122BD,letter,CUNEIFORM SIGN SHE OVER SHE TAB OVER TAB GAR OVER GAR,⠩⠑⠌⠩⠑ ⠞⠁⠃⠌⠞⠁⠃ ⠛⠜⠌⠛⠜
𒊾,74430,𒊾,122BE,letter,CUNEIFORM SIGN SHEG9,⠩⠑⠛⠔
𒊿,74431,𒊿,122BF,letter,CUNEIFORM SIGN SHEN,⠩⠑⠝
𒋀,74432,𒋀,122C0,letter,CUNEIFORM SIGN SHESH,⠩⠑⠩
𒋁,74433,𒋁,122C1,letter,CUNEIFORM SIGN SHESH2,⠩⠑⠩
𒋂,74434,𒋂,122C2,letter,CUNEIFORM SIGN SHESHLAM,⠩⠑⠩⠇⠁⠍
𒋃,74435,𒋃,122C3,letter,CUNEIFORM SIGN SHID,⠩⠊⠙
𒋄,74436,𒋄,122C4,letter,CUNEIFORM SIGN SHID TIMES A,⠩⠊⠙⠡⠁
𒋅,74437,𒋅,122C5,letter,CUNEIFORM SIGN SHID TIMES IM,⠩⠊⠙⠡⠊⠍
𒋆,74438,𒋆,122C6,letter,CUNEIFORM SIGN SHIM,⠩⠊⠍
𒋇,74439,𒋇,122C7,letter,CUNEIFORM SIGN SHIM TIMES A,⠩⠊⠍⠡⠁
𒋈,74440,𒋈,122C8,letter,CUNEIFORM SIGN SHIM TIMES BAL,⠩⠊⠍⠡⠃⠁⠇
𒋉,74441,𒋉,122C9,letter,CUNEIFORM SIGN SHIM TIMES BULUG,⠩⠊⠍⠡⠃⠥⠇⠥⠛
𒋊,74442,𒋊,122CA,letter,CUNEIFORM SIGN SHIM TIMES DIN,⠩⠊⠍⠡⠙⠊⠝
𒋋,74443,𒋋,122CB,letter,CUNEIFORM SIGN SHIM TIMES GAR,⠩⠊⠍⠡⠛⠜
𒋌,74444,𒋌,122CC,letter,CUNEIFORM SIGN SHIM TIMES IGI,⠩⠊⠍⠡⠊⠛⠊
𒋍,74445,𒋍,122CD,letter,CUNEIFORM SIGN SHIM TIMES IGI GUNU,⠩⠊⠍⠡⠊⠛⠊ ⠛⠥⠝⠥
𒋎,74446,𒋎,122CE,letter,CUNEIFORM SIGN SHIM TIMES KUSHU2,⠩⠊⠍⠡⠅⠥⠩⠥
𒋏,74447,𒋏,122CF,letter,CUNEIFORM SIGN SHIM TIMES LUL,⠩⠊⠍⠡⠇⠥⠇
𒋐,74448,𒋐,122D0,letter,CUNEIFORM SIGN SHIM TIMES MUG,⠩⠊⠍⠡⠍⠥⠛
𒋑,74449,𒋑,122D1,letter,CUNEIFORM SIGN SHIM TIMES SAL,⠩⠊⠍⠡⠎⠁⠇
𒋒,74450,𒋒,122D2,letter,CUNEIFORM SIGN SHINIG,⠩⠊⠝⠊⠛
𒋓,74451,𒋓,122D3,letter,CUNEIFORM SIGN SHIR,⠩⠊⠗
𒋔,74452,𒋔,122D4,letter,CUNEIFORM SIGN SHIR TENU,⠩⠊⠗ ⠞⠑⠝⠥
𒋕,74453,𒋕,122D5,letter,CUNEIFORM SIGN SHIR OVER SHIR BUR OVER BUR,⠩⠊⠗⠌⠩⠊⠗ ⠃⠥⠗⠌⠃⠥⠗
𒋖,74454,𒋖,122D6,letter,CUNEIFORM SIGN SHITA,⠩⠊⠞⠁
𒋗,74455,𒋗,122D7,letter,CUNEIFORM SIGN SHU,⠩⠥
𒋘,74456,𒋘,122D8,letter,CUNEIFORM SIGN SHU OVER INVERTED SHU,⠩⠥⠌⠊⠝⠧⠑⠗⠞⠑⠙ ⠩⠥
𒋙,74457,𒋙,122D9,letter,CUNEIFORM SIGN SHU2,⠩⠥
𒋚,74458,𒋚,122DA,letter,CUNEIFORM SIGN SHUBUR,⠩⠥⠃⠥⠗
𒋛,74459,𒋛,122DB,letter,CUNEIFORM SIGN SI,⠎⠊
𒋜,74460,𒋜,122DC,letter,CUNEIFORM SIGN SI GUNU,⠎⠊ ⠛⠥⠝⠥
𒋝,74461,𒋝,122DD,letter,CUNEIFORM SIGN SIG,⠎⠊⠛
𒋞,74462,𒋞,122DE,letter,CUNEIFORM SIGN SIG4,⠎⠊⠛⠲
𒋟,74463,𒋟,122DF,letter,CUNEIFORM SIGN SIG4 OVER SIG4 SHU2,⠎⠊⠛⠲⠌⠎⠊⠛⠲ ⠩⠥
𒋠,74464,𒋠,122,letter,CUNEIFORM SIGN SIK2,⠎⠊⠅
𒋡,74465,𒋡,1220,letter,CUNEIFORM SIGN SILA3,⠎⠊⠇⠁⠒
𒋢,74466,𒋢,122E2,letter,CUNEIFORM SIGN SU,⠎⠥
𒋣,74467,𒋣,122e3,letter,CUNEIFORM SIGN SU OVER SU,⠎⠥⠌⠎⠥
𒋤,74468,𒋤,122e4,letter,CUNEIFORM SIGN SUD,⠎⠥⠙
𒋥,74469,𒋥,122e5,letter,CUNEIFORM SIGN SUD2,⠎⠥⠙
𒋦,74470,𒋦,122e6,letter,CUNEIFORM SIGN SUHUR,⠎⠥⠓⠥⠗
𒋧,74471,𒋧,122e7,letter,CUNEIFORM SIGN SUM,⠎⠥⠍
𒋨,74472,𒋨,122e8,letter,CUNEIFORM SIGN SUMASH,⠎⠥⠍⠁⠩
𒋩,74473,𒋩,122e9,letter,CUNEIFORM SIGN SUR,⠎⠥⠗
𒋪,74474,𒋪,122EA,letter,CUNEIFORM SIGN SUR9,⠎⠥⠗⠔
𒋫,74475,𒋫,122EB,letter,CUNEIFORM SIGN TA,⠞⠁
𒋬,74476,𒋬,122EC,letter,CUNEIFORM SIGN TA ASTERISK,⠞⠁⠡
𒋭,74477,𒋭,122ED,letter,CUNEIFORM SIGN TA TIMES HI,⠞⠁⠡⠓⠊
𒋮,74478,𒋮,122EE,letter,CUNEIFORM SIGN TA TIMES MI,⠞⠁⠡⠍⠊
𒋯,74479,𒋯,122EF,letter,CUNEIFORM SIGN TA GUNU,⠞⠁ ⠛⠥⠝⠥
𒋰,74480,𒋰,122F0,letter,CUNEIFORM SIGN TAB,⠞⠁⠃
𒋱,74481,𒋱,122F1,letter,CUNEIFORM SIGN TAB OVER TAB NI OVER NI DISH OVER DISH,⠞⠁⠃⠌⠞⠁⠃ ⠝⠊⠌⠝⠊ ⠙⠊⠩⠌⠙⠊⠩
𒋲,74482,𒋲,122F2,letter,CUNEIFORM SIGN TAB SQUARED,⠞⠁⠃⠘⠸
𒋳,74483,𒋳,122F3,letter,CUNEIFORM SIGN TAG,⠞⠁⠛
𒋴,74484,𒋴,122F4,letter,CUNEIFORM SIGN TAG TIMES BI,⠞⠁⠛⠡⠃⠊
𒋵,74485,𒋵,122F5,letter,CUNEIFORM SIGN TAG TIMES GUD,⠞⠁⠛⠡⠛⠥⠙
𒋶,74486,𒋶,122F6,letter,CUNEIFORM SIGN TAG TIMES SHE,⠞⠁⠛⠡⠩⠑
𒋷,74487,𒋷,122F7,letter,CUNEIFORM SIGN TAG TIMES SHU,⠞⠁⠛⠡⠩⠥
𒋸,74488,𒋸,122F8,letter,CUNEIFORM SIGN TAG TIMES TUG2,⠞⠁⠛⠡⠞⠥⠛
𒋹,74489,𒋹,122F9,letter,CUNEIFORM SIGN TAG TIMES UD,⠞⠁⠛⠡⠥⠙
𒋺,74490,𒋺,122FA,letter,CUNEIFORM SIGN TAK4,⠞⠁⠅⠲
𒋻,74491,𒋻,122FB,letter,CUNEIFORM SIGN TAR,⠞⠜
𒋼,74492,𒋼,122FC,letter,CUNEIFORM SIGN TE,⠞⠑
𒋽,74493,𒋽,122FD,letter,CUNEIFORM SIGN TE GUNU,⠞⠑ ⠛⠥⠝⠥
𒋾,74494,𒋾,122FE,letter,CUNEIFORM SIGN TI,⠞⠊
𒋿,74495,𒋿,122FF,letter,CUNEIFORM SIGN TI TENU,⠞⠊ ⠞⠑⠝⠥
𒌀,74496,𒌀,12300,letter,CUNEIFORM SIGN TIL,⠞⠊⠇
𒌁,74497,𒌁,12301,letter,CUNEIFORM SIGN TIR,⠞⠊⠗
𒌂,74498,𒌂,12302,letter,CUNEIFORM SIGN TIR TIMES TAK4,⠞⠊⠗⠡⠞⠁⠅⠲
𒌃,74499,𒌃,12303,letter,CUNEIFORM SIGN TIR OVER TIR,⠞⠊⠗⠌⠞⠊⠗
𒌄,74500,𒌄,12304,letter,CUNEIFORM SIGN TIR OVER TIR GAD OVER GAD GAR OVER GAR,⠞⠊⠗⠌⠞⠊⠗ ⠛⠁⠙⠌⠛⠁⠙ ⠛⠜⠌⠛⠜
𒌅,74501,𒌅,12305,letter,CUNEIFORM SIGN TU,⠞⠥
𒌆,74502,𒌆,12306,letter,CUNEIFORM SIGN TUG2,⠞⠥⠛
𒌇,74503,𒌇,12307,letter,CUNEIFORM SIGN TUK,⠞⠥⠅
𒌈,74504,𒌈,12308,letter,CUNEIFORM SIGN TUM,⠞⠥⠍
𒌉,74505,𒌉,12309,letter,CUNEIFORM SIGN TUR,⠞⠥⠗
𒌊,74506,𒌊,1230A,letter,CUNEIFORM SIGN TUR OVER TUR ZA OVER ZA,⠞⠥⠗⠌⠞⠥⠗ ⠵⠁⠌⠵⠁
𒌋,74507,𒌋,1230B,letter,CUNEIFORM SIGN U,⠥
𒌌,74508,𒌌,1230C,letter,CUNEIFORM SIGN U GUD,⠥ ⠛⠥⠙
𒌍,74509,𒌍,1230D,letter,CUNEIFORM SIGN U U U,⠥ ⠥ ⠥
𒌎,74510,𒌎,1230E,letter,CUNEIFORM SIGN U OVER U PA OVER PA GAR OVER GAR,⠥⠌⠥ ⠏⠁⠌⠏⠁ ⠛⠜⠌⠛⠜
𒌏,74511,𒌏,1230F,letter,CUNEIFORM SIGN U OVER U SUR OVER SUR,⠥⠌⠥ ⠎⠥⠗⠌⠎⠥⠗
𒌐,74512,𒌐,12310,letter,CUNEIFORM SIGN U OVER U U REVERSED OVER U REVERSED,⠥⠌⠥ ⠥⠯⠇⠞⠰⠌⠥⠯⠇⠞⠰
𒌑,74513,𒌑,12311,letter,CUNEIFORM SIGN U2,⠥
𒌒,74514,𒌒,12312,letter,CUNEIFORM SIGN UB,⠥⠃
𒌓,74515,𒌓,12313,letter,CUNEIFORM SIGN UD,⠥⠙
𒌔,74516,𒌔,12314,letter,CUNEIFORM SIGN UD KUSHU2,⠥⠙ ⠅⠥⠩⠥
𒌕,74517,𒌕,12315,letter,CUNEIFORM SIGN UD TIMES BAD,⠥⠙⠡⠃⠁⠙
𒌖,74518,𒌖,12316,letter,CUNEIFORM SIGN UD TIMES MI,⠥⠙⠡⠍⠊
𒌗,74519,𒌗,12317,letter,CUNEIFORM SIGN UD TIMES U PLUS U PLUS U,⠥⠙⠡⠥⠬⠥⠬⠥
𒌘,74520,𒌘,12318,letter,CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU,⠥⠙⠡⠥⠬⠥⠬⠥ ⠛⠥⠝⠥
𒌙,74521,𒌙,12319,letter,CUNEIFORM SIGN UD GUNU,⠥⠙ ⠛⠥⠝⠥
𒌚,74522,𒌚,1231A,letter,CUNEIFORM SIGN UD SHESHIG,⠥⠙ ⠩⠑⠩⠊⠛
𒌛,74523,𒌛,1231B,letter,CUNEIFORM SIGN UD SHESHIG TIMES BAD,⠥⠙ ⠩⠑⠩⠊⠛⠡⠃⠁⠙
𒌜,74524,𒌜,1231C,letter,CUNEIFORM SIGN UDUG,⠥⠙⠥⠛
𒌝,74525,𒌝,1231D,letter,CUNEIFORM SIGN UM,⠥⠍
𒌞,74526,𒌞,1231E,letter,CUNEIFORM SIGN UM TIMES LAGAB,⠥⠍⠡⠇⠁⠛⠁⠃
𒌟,74527,𒌟,1231F,letter,CUNEIFORM SIGN UM TIMES ME PLUS DA,⠥⠍⠡⠍⠑⠬⠙⠁
𒌠,74528,𒌠,12320,letter,CUNEIFORM SIGN UM TIMES SHA3,⠥⠍⠡⠩⠁⠒
𒌡,74529,𒌡,12321,letter,CUNEIFORM SIGN UM TIMES U,⠥⠍⠡⠥
𒌢,74530,𒌢,12322,letter,CUNEIFORM SIGN UMBIN,⠥⠍⠃⠊⠝
𒌣,74531,𒌣,12323,letter,CUNEIFORM SIGN UMUM,⠥⠍⠥⠍
𒌤,74532,𒌤,12324,letter,CUNEIFORM SIGN UMUM TIMES KASKAL,⠥⠍⠥⠍⠡⠅⠁⠎⠅⠁⠇
𒌥,74533,𒌥,12325,letter,CUNEIFORM SIGN UMUM TIMES PA,⠥⠍⠥⠍⠡⠏⠁
𒌦,74534,𒌦,12326,letter,CUNEIFORM SIGN UN,⠥⠝
𒌧,74535,𒌧,12327,letter,CUNEIFORM SIGN UN GUNU,⠥⠝ ⠛⠥⠝⠥
𒌨,74536,𒌨,12328,letter,CUNEIFORM SIGN UR,⠥⠗
𒌩,74537,𒌩,12329,letter,CUNEIFORM SIGN UR CROSSING UR,⠥⠗⠯⠥⠗
𒌪,74538,𒌪,1232A,letter,CUNEIFORM SIGN UR SHESHIG,⠥⠗ ⠩⠑⠩⠊⠛
𒌫,74539,𒌫,1232B,letter,CUNEIFORM SIGN UR2,⠥⠗
𒌬,74540,𒌬,1232C,letter,CUNEIFORM SIGN UR2 TIMES A PLUS HA,⠥⠗⠡⠁⠬⠓⠁
𒌭,74541,𒌭,1232D,letter,CUNEIFORM SIGN UR2 TIMES A PLUS NA,⠥⠗⠡⠁⠬⠝⠁
𒌮,74542,𒌮,1232E,letter,CUNEIFORM SIGN UR2 TIMES AL,⠥⠗⠡⠁⠇
𒌯,74543,𒌯,1232F,letter,CUNEIFORM SIGN UR2 TIMES HA,⠥⠗⠡⠓⠁
𒌰,74544,𒌰,12330,letter,CUNEIFORM SIGN UR2 TIMES NUN,⠥⠗⠡⠝⠥⠝
𒌱,74545,𒌱,12331,letter,CUNEIFORM SIGN UR2 TIMES U2,⠥⠗⠡⠥
𒌲,74546,𒌲,12332,letter,CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH,⠥⠗⠡⠥⠬⠁⠩
𒌳,74547,𒌳,12333,letter,CUNEIFORM SIGN UR2 TIMES U2 PLUS BI,⠥⠗⠡⠥⠬⠃⠊
𒌴,74548,𒌴,12334,letter,CUNEIFORM SIGN UR4,⠥⠗⠲
𒌵,74549,𒌵,12335,letter,CUNEIFORM SIGN URI,⠥⠗⠊
𒌶,74550,𒌶,12336,letter,CUNEIFORM SIGN URI3,⠥⠗⠊⠒
𒌷,74551,𒌷,12337,letter,CUNEIFORM SIGN URU,⠥⠗⠥
𒌸,74552,𒌸,12338,letter,CUNEIFORM SIGN URU TIMES A,⠥⠗⠥⠡⠁
𒌹,74553,𒌹,12339,letter,CUNEIFORM SIGN URU TIMES ASHGAB,⠥⠗⠥⠡⠁⠩⠛⠁⠃
𒌺,74554,𒌺,1233A,letter,CUNEIFORM SIGN URU TIMES BAR,⠥⠗⠥⠡⠃⠜
𒌻,74555,𒌻,1233B,letter,CUNEIFORM SIGN URU TIMES DUN,⠥⠗⠥⠡⠙⠥⠝
𒌼,74556,𒌼,1233C,letter,CUNEIFORM SIGN URU TIMES GA,⠥⠗⠥⠡⠛⠁
𒌽,74557,𒌽,1233D,letter,CUNEIFORM SIGN URU TIMES GAL,⠥⠗⠥⠡⠛⠁⠇
𒌾,74558,𒌾,1233E,letter,CUNEIFORM SIGN URU TIMES GAN2 TENU,⠥⠗⠥⠡⠛⠁⠝ ⠞⠑⠝⠥
𒌿,74559,𒌿,1233F,letter,CUNEIFORM SIGN URU TIMES GAR,⠥⠗⠥⠡⠛⠜
𒍀,74560,𒍀,12340,letter,CUNEIFORM SIGN URU TIMES GU,⠥⠗⠥⠡⠛⠥
𒍁,74561,𒍁,12341,letter,CUNEIFORM SIGN URU TIMES HA,⠥⠗⠥⠡⠓⠁
𒍂,74562,𒍂,12342,letter,CUNEIFORM SIGN URU TIMES IGI,⠥⠗⠥⠡⠊⠛⠊
𒍃,74563,𒍃,12343,letter,CUNEIFORM SIGN URU TIMES IM,⠥⠗⠥⠡⠊⠍
𒍄,74564,𒍄,12344,letter,CUNEIFORM SIGN URU TIMES ISH,⠥⠗⠥⠡⠊⠩
𒍅,74565,𒍅,12345,letter,CUNEIFORM SIGN URU TIMES KI,⠥⠗⠥⠡⠅⠊
𒍆,74566,𒍆,12346,letter,CUNEIFORM SIGN URU TIMES LUM,⠥⠗⠥⠡⠇⠥⠍
𒍇,74567,𒍇,12347,letter,CUNEIFORM SIGN URU TIMES MIN,⠥⠗⠥⠡⠍⠊⠝
𒍈,74568,𒍈,12348,letter,CUNEIFORM SIGN URU TIMES PA,⠥⠗⠥⠡⠏⠁
𒍉,74569,𒍉,12349,letter,CUNEIFORM SIGN URU TIMES SHE,⠥⠗⠥⠡⠩⠑
𒍊,74570,𒍊,1234A,letter,CUNEIFORM SIGN URU TIMES SIG4,⠥⠗⠥⠡⠎⠊⠛⠲
𒍋,74571,𒍋,1234B,letter,CUNEIFORM SIGN URU TIMES TU,⠥⠗⠥⠡⠞⠥
𒍌,74572,𒍌,1234C,letter,CUNEIFORM SIGN URU TIMES U PLUS GUD,⠥⠗⠥⠡⠥⠬⠛⠥⠙
𒍍,74573,𒍍,1234D,letter,CUNEIFORM SIGN URU TIMES UD,⠥⠗⠥⠡⠥⠙
𒍎,74574,𒍎,1234E,letter,CUNEIFORM SIGN URU TIMES URUDA,⠥⠗⠥⠡⠥⠗⠥⠙⠁
𒍏,74575,𒍏,1234F,letter,CUNEIFORM SIGN URUDA,⠥⠗⠥⠙⠁
𒍐,74576,𒍐,12350,letter,CUNEIFORM SIGN URUDA TIMES U,⠥⠗⠥⠙⠁⠡⠥
𒍑,74577,𒍑,12351,letter,CUNEIFORM SIGN USH,⠥⠩
𒍒,74578,𒍒,12352,letter,CUNEIFORM SIGN USH TIMES A,⠥⠩⠡⠁
𒍓,74579,𒍓,12353,letter,CUNEIFORM SIGN USH TIMES KU,⠥⠩⠡⠅⠥
𒍔,74580,𒍔,12354,letter,CUNEIFORM SIGN USH TIMES KUR,⠥⠩⠡⠅⠥⠗
𒍕,74581,𒍕,12355,letter,CUNEIFORM SIGN USH TIMES TAK4,⠥⠩⠡⠞⠁⠅⠲
𒍖,74582,𒍖,12356,letter,CUNEIFORM SIGN USHX,⠥⠩⠭
𒍗,74583,𒍗,12357,letter,CUNEIFORM SIGN USH2,⠥⠩
𒍘,74584,𒍘,12358,letter,CUNEIFORM SIGN USHUMX,⠥⠩⠥⠍⠭
𒍙,74585,𒍙,12359,letter,CUNEIFORM SIGN UTUKI,⠥⠞⠥⠅⠊
𒍚,74586,𒍚,1235A,letter,CUNEIFORM SIGN UZ3,⠥⠵⠒
𒍛,74587,𒍛,1235B,letter,CUNEIFORM SIGN UZ3 TIMES KASKAL,⠥⠵⠒⠡⠅⠁⠎⠅⠁⠇
𒍜,74588,𒍜,1235C,letter,CUNEIFORM SIGN UZU,⠥⠵⠥
𒍝,74589,𒍝,1235D,letter,CUNEIFORM SIGN ZA,⠵⠁
𒍞,74590,𒍞,1235E,letter,CUNEIFORM SIGN ZA TENU,⠵⠁ ⠞⠑⠝⠥
𒍟,74591,𒍟,1235F,letter,CUNEIFORM SIGN ZA SQUARED TIMES KUR,⠵⠁⠘⠸⠡⠅⠥⠗
𒍠,74592,𒍠,12360,letter,CUNEIFORM SIGN ZAG,⠵⠁⠛
𒍡,74593,𒍡,12361,letter,CUNEIFORM SIGN ZAMX,⠵⠁⠍⠭
𒍢,74594,𒍢,12362,letter,CUNEIFORM SIGN ZE2,⠵⠑
𒍣,74595,𒍣,12363,letter,CUNEIFORM SIGN ZI,⠵⠊
𒍤,74596,𒍤,12364,letter,CUNEIFORM SIGN ZI OVER ZI,⠵⠊⠌⠵⠊
𒍥,74597,𒍥,12365,letter,CUNEIFORM SIGN ZI3,⠵⠊⠒
𒍦,74598,𒍦,12366,letter,CUNEIFORM SIGN ZIB,⠵⠊⠃
𒍧,74599,𒍧,12367,letter,CUNEIFORM SIGN ZIB KABA TENU,⠵⠊⠃ ⠅⠁⠃⠁ ⠞⠑⠝⠥
𒍨,74600,𒍨,12368,letter,CUNEIFORM SIGN ZIG,⠵⠊⠛
𒍩,74601,𒍩,12369,letter,CUNEIFORM SIGN ZIZ2,⠵⠊⠵
𒍪,74602,𒍪,1236A,letter,CUNEIFORM SIGN ZU,⠵⠥
𒍫,74603,𒍫,1236B,letter,CUNEIFORM SIGN ZU5,⠵⠥⠢
𒍬,74604,𒍬,1236C,letter,CUNEIFORM SIGN ZU5 TIMES A,⠵⠥⠢⠡⠁
𒍭,74605,𒍭,1236D,letter,CUNEIFORM SIGN ZUBUR,⠵⠥⠃⠥⠗
𒍮,74606,𒍮,1236E,letter,CUNEIFORM SIGN ZUM,⠵⠥⠍
𒍯,74607,𒍯,1236F,letter,CUNEIFORM SIGN KAP ELAMITE,⠅⠁⠏ ⠑⠇⠁⠍⠊⠞⠑
𒍰,74608,𒍰,12370,letter,CUNEIFORM SIGN AB TIMES NUN,⠁⠃⠡⠝⠥⠝
𒍱,74609,𒍱,12371,letter,CUNEIFORM SIGN AB2 TIMES A,⠁⠃⠡⠁
𒍲,74610,𒍲,12372,letter,CUNEIFORM SIGN AMAR TIMES KUG,⠁⠍⠜⠡⠅⠥⠛
𒍳,74611,𒍳,12373,letter,CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠬⠍⠁⠩
𒍴,74612,𒍴,12374,letter,CUNEIFORM SIGN DAG3,⠙⠁⠛⠒
𒍵,74613,𒍵,12375,letter,CUNEIFORM SIGN DISH PLUS SHU,⠙⠊⠩⠬⠩⠥
