Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒁏,73807,𒁏,1204F,letter,CUNEIFORM SIGN BU OVER BU UN,⠃⠥⠌⠃⠥ ⠥⠝
𒁐,73808,𒁐,12050,letter,CUNEIFORM SIGN BU CROSSING BU,⠃⠥⠯⠃⠥
𒁑,73809,𒁑,12051,letter,CUNEIFORM SIGN BULUG,⠃⠥⠇⠥⠛
𒁒,73810,𒁒,12052,letter,CUNEIFORM SIGN BULUG OVER BULUG,⠃⠥⠇⠥⠛⠌⠃⠥⠇⠥⠛
𒁓,73811,𒁓,12053,letter,CUNEIFORM SIGN BUR,⠃⠥⠗
𒁔,73812,𒁔,12054,letter,CUNEIFORM SIGN BUR2,⠃⠥⠗
𒁕,73813,𒁕,12055,letter,CUNEIFORM SIGN DA,⠙⠁
𒁖,73814,𒁖,12056,letter,CUNEIFORM SIGN DAG,⠙⠁⠛
𒁗,73815,𒁗,12057,letter,CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠁⠬⠍⠁⠩
𒁘,73816,𒁘,12058,letter,CUNEIFORM SIGN DAG KISIM5 TIMES AMAR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠁⠍⠜
𒁙,73817,𒁙,12059,letter,CUNEIFORM SIGN DAG KISIM5 TIMES BALAG,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠃⠁⠇⠁⠛
𒁚,73818,𒁚,1205A,letter,CUNEIFORM SIGN DAG KISIM5 TIMES BI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠃⠊
𒁛,73819,𒁛,1205B,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠁
𒁜,73820,𒁜,1205C,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠁⠬⠍⠁⠩
𒁝,73821,𒁝,1205D,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠊
𒁞,73822,𒁞,1205E,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠊⠗
