Character,Hex,Logic,Type,Name,Braille
𒂿,120BF,395,letter,GA2xBAD,⠛⠁⠆⠭⠃⠁⠙
𒃀,120C0,238,letter,GA2xBAR+RA,⠛⠁⠆⠭⠃⠜⠬⠗⠁
𒃁,120C1,238,letter,GA2xBUR,⠛⠁⠆⠭⠃⠥⠗
𒃂,120C2,415,letter,GA2xBUR+RA,⠛⠁⠆⠭⠃⠥⠗⠬⠗⠁
𒃃,120C3,416,letter,GA2xDA,⠛⠁⠆⠭⠙⠁
𒃄,120C4,425,letter,GA2xDI,⠛⠁⠆⠭⠙⠊
𒃅,120C5,401,letter,GA2xDIMxshE,⠛⠁⠆⠭⠙⠊⠍⠭⠩⠑
𒃆,120C6,403,letter,GA2xDUB,⠛⠁⠆⠭⠙⠥⠃
𒃇,120C7,238,letter,GA2xEL,⠛⠁⠆⠭⠑⠇
𒃈,120C8,433,letter,GA2xEL+LA,⠛⠁⠆⠭⠑⠇⠬⠇⠁
𒃉,120C9,399,letter,GA2xEN,⠛⠁⠆⠭⠑⠝
𒃊,120CA,400,letter,GA2xBURU14,⠛⠁⠆⠭⠃⠥⠗⠥⠂⠲
𒃋,120CB,402,letter,GA2xGAN2tenu,⠛⠁⠆⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒃌,120CC,431,letter,GALGA,⠛⠁⠇⠛⠁
𒃍,120CD,396,letter,GA2xGI,⠛⠁⠆⠭⠛⠊
𒃎,120CE,412,letter,GA2xGI4,⠛⠁⠆⠭⠛⠊⠲
𒃏,120CF,128,letter,GA2xGI4+A,⠛⠁⠆⠭⠛⠊⠲⠬⠁
𒃐,120D0,391,letter,GA2xGIR2+SU,⠛⠁⠆⠭⠛⠊⠗⠆⠬⠎⠥
𒃑,120D1,430,letter,GA2xHA+LU+Esh2,⠛⠁⠆⠭⠓⠁⠬⠇⠥⠬⠑⠩⠆
𒃒,120D2,128,letter,GA2xHAL,⠛⠁⠆⠭⠓⠁⠇
𒃓,120D3,390,letter,GA2xHAL+LA,⠛⠁⠆⠭⠓⠁⠇⠬⠇⠁
𒃔,120D4,421,letter,GA2xHI+LI,⠛⠁⠆⠭⠓⠊⠬⠇⠊
𒃕,120D5,398,letter,GA2xHUB2,⠛⠁⠆⠭⠓⠥⠃⠆
𒃖,120D6,417,letter,GA2xIGIgunu,⠛⠁⠆⠭⠊⠛⠊⠛⠥⠝⠥
𒃗,120D7,406,letter,GA2xIsh+HU+Ash,⠛⠁⠆⠭⠊⠩⠬⠓⠥⠬⠁⠩
𒃘,120D8,407,letter,GA2xKAK,⠛⠁⠆⠭⠅⠁⠅
𒃙,120D9,405,letter,GA2xKASKAL,⠛⠁⠆⠭⠅⠁⠎⠅⠁⠇
𒃚,120DA,394,letter,GA2xKID,⠛⠁⠆⠭⠅⠊⠙
𒃛,120DB,409,letter,GA2xKID+LAL,⠛⠁⠆⠭⠅⠊⠙⠬⠇⠁⠇
𒃜,120DC,426,letter,GA2xKU3+AN,⠛⠁⠆⠭⠅⠥⠒⠬⠁⠝
𒃝,120DD,128,letter,GA2xLA,⠛⠁⠆⠭⠇⠁
𒃞,120DE,427,letter,MEN,⠍⠑⠝
𒃟,120DF,424,letter,ITIMA,⠊⠞⠊⠍⠁
𒃠,120E0,397,letter,GANUN,⠛⠁⠝⠥⠝
𒃡,120E1,411,letter,UR3,⠥⠗⠒
𒃢,120E2,408,letter,GAZI,⠛⠁⠵⠊
𒃣,120E3,432,letter,ARHUsh,⠜⠓⠥⠩
𒃤,120E4,413,letter,GA2xSAR,⠛⠁⠆⠭⠎⠜
𒃥,120E5,418,letter,ESAG2,⠑⠎⠁⠛⠆
𒃦,120E6,419,letter,GA2xshE+TUR,⠛⠁⠆⠭⠩⠑⠬⠞⠥⠗
𒃧,120E7,410,letter,GA2xshID,⠛⠁⠆⠭⠩⠊⠙
𒃨,120E8,404,letter,GA2xSUM,⠛⠁⠆⠭⠎⠥⠍
𒃩,120E9,394,letter,GA2xTAK4,⠛⠁⠆⠭⠞⠁⠅⠲
𒃪,120EA,422,letter,GA2xU,⠛⠁⠆⠭⠥
𒃫,120EB,420,letter,GA2xUD,⠛⠁⠆⠭⠥⠙
𒃬,120EC,238,letter,GA2xUD+DU,⠛⠁⠆⠭⠥⠙⠬⠙⠥
𒃭,120ED,238,letter,GA2/GA2,⠛⠁⠆⠌⠛⠁⠆
𒃮,120EE,238,letter,GABA,⠛⠁⠃⠁
𒃯,120EF,238,letter,GABAcrossingGABA,⠛⠁⠃⠁⠉⠗⠕⠎⠎⠊⠝⠛⠛⠁⠃⠁
𒃰,120F0,157,letter,GAD,⠛⠁⠙
𒃱,120F1,238,letter,GAD/GADGAR/GAR,⠛⠁⠙⠌⠛⠁⠙⠛⠜⠌⠛⠜
𒃲,120F2,553,letter,GAL,⠛⠁⠇
𒃳,120F3,238,letter,GALGAD/GADGAR/GAR,⠛⠁⠇⠛⠁⠙⠌⠛⠁⠙⠛⠜⠌⠛⠜
𒃴,120F4,338,letter,SUKUD,⠎⠥⠅⠥⠙
𒃵,120F5,576,letter,GAM,⠛⠁⠍
𒃶,120F6,253,letter,KAN,⠅⠁⠝
𒃷,120F7,174,letter,GAN2,⠛⠁⠝⠆
𒃸,120F8,175,letter,KAR2,⠅⠜⠆
𒃹,120F9,174,letter,GAN2/GAN2,⠛⠁⠝⠆⠌⠛⠁⠝⠆
𒃺,120FA,174v,letter,GAN2crossingGAN2,⠛⠁⠝⠆⠉⠗⠕⠎⠎⠊⠝⠛⠛⠁⠝⠆
𒃻,120FB,859,letter,NINDA,⠝⠊⠝⠙⠁
𒃼,120FC,543,letter,GAR3,⠛⠜⠒
𒃽,120FD,562,letter,Ugunu,⠥⠛⠥⠝⠥
𒃾,120FE,212,letter,GEshTIN,⠛⠑⠩⠞⠊⠝
𒃿,120FF,213,letter,GEshTINxKUR,⠛⠑⠩⠞⠊⠝⠭⠅⠥⠗
𒄀,12100,141,letter,GE,⠛⠑
𒄁,12101,238,letter,GIxE,⠛⠊⠭⠑
𒄂,12102,238,letter,GIxU,⠛⠊⠭⠥
𒄃,12103,105,letter,GI16,⠛⠊⠂⠖
𒄄,12104,507,letter,GE4,⠛⠑⠲
𒄅,12105,508,letter,GIGI,⠛⠊⠛⠊
𒄆,12106,508,letter,GIGI,⠛⠊⠛⠊
𒄇,12107,830,letter,GIDIM,⠛⠊⠙⠊⠍
