Character,Hex,Type,Name,Braille
𒍷,12377,letter,DUBxshE,⠙⠥⠃⠭⠩⠑
𒍸,12378,letter,EZENxGUD,⠑⠵⠑⠝⠭⠛⠥⠙
𒍹,12379,letter,EZENxshE,⠑⠵⠑⠝⠭⠩⠑
𒍺,1237A,letter,GA2xAN+KAK+A,⠛⠁⠆⠭⠁⠝⠬⠅⠁⠅⠬⠁
𒍻,1237B,letter,GA2xAsh2,⠛⠁⠆⠭⠁⠩⠆
𒌩,12329,letter,HUL,⠓⠥⠇
𒌧,12327,letter,KALAM,⠅⠁⠇⠁⠍
𒊶,122B6,letter,shA3xU,⠩⠁⠒⠭⠥
𒋒,122D2,letter,shIMxSAL,⠩⠊⠍⠭⠎⠁⠇
𒋔,122D4,letter,shIR,⠩⠊⠗
𒋕,122D5,letter,shIRtenu,⠩⠊⠗⠞⠑⠝⠥
