Character,Hex,Type,Name,Braille
𒇝,121DD,letter,LAGAB TIMES SHITA PLUS GISH PLUS ERIN2,⠇⠁⠛⠁⠃⠡⠩⠊⠞⠁⠬⠛⠊⠩⠬⠑⠗⠊⠝
𒇞,121DE,letter,LAGAB TIMES SHITA PLUS GISH TENU,⠇⠁⠛⠁⠃⠡⠩⠊⠞⠁⠬⠛⠊⠩ ⠞⠑⠝⠥
𒇟,121DF,letter,LAGAB TIMES SHU2,⠇⠁⠛⠁⠃⠡⠩⠥
𒇢,121E2,letter,LAGAB TIMES TAG,⠇⠁⠛⠁⠃⠡⠞⠁⠛
𒇣,121e3,letter,LAGAB TIMES TAK4,⠇⠁⠛⠁⠃⠡⠞⠁⠅⠲
𒇤,121e4,letter,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,⠇⠁⠛⠁⠃⠡⠞⠑⠬⠁⠬⠎⠥⠬⠝⠁
𒇥,121e5,letter,LAGAB TIMES U,⠇⠁⠛⠁⠃⠡⠥
𒇦,121e6,letter,LAGAB TIMES U PLUS A,⠇⠁⠛⠁⠃⠡⠥⠬⠁
𒇧,121e7,letter,LAGAB TIMES U PLUS U PLUS U,⠇⠁⠛⠁⠃⠡⠥⠬⠥⠬⠥
𒈅,12205,letter,LU2 TIMES KAD2,⠇⠥⠡⠅⠁⠙
𒈆,12206,letter,LU2 TIMES KAD3,⠇⠥⠡⠅⠁⠙⠒
𒈇,12207,letter,LU2 TIMES KAD3 PLUS ASH,⠇⠥⠡⠅⠁⠙⠒⠬⠁⠩
𒈈,12208,letter,LU2 TIMES KI,⠇⠥⠡⠅⠊
𒈥,12225,letter,MAR,⠍⠜
𒈦,12226,letter,MASH,⠍⠁⠩
𒈧,12227,letter,MASH2,⠍⠁⠩
𒈨,12228,letter,ME,⠍⠑
𒈩,12229,letter,MES,⠍⠑⠎
𒈪,1222A,letter,MI,⠍⠊
𒈫,1222B,letter,MIN,⠍⠊⠝
𒈬,1222C,letter,MU,⠍⠥
𒈭,1222D,letter,MU OVER MU,⠍⠥⠌⠍⠥
𒈮,1222E,letter,MUG,⠍⠥⠛
𒈯,1222F,letter,MUG GUNU,⠍⠥⠛ ⠛⠥⠝⠥
𒈰,12230,letter,MUNSUB,⠍⠥⠝⠎⠥⠃
𒈱,12231,letter,MURGU2,⠍⠥⠗⠛⠥
𒈲,12232,letter,MUSH,⠍⠥⠩
𒈳,12233,letter,MUSH TIMES A,⠍⠥⠩⠡⠁
𒈴,12234,letter,MUSH TIMES KUR,⠍⠥⠩⠡⠅⠥⠗
𒈵,12235,letter,MUSH TIMES ZA,⠍⠥⠩⠡⠵⠁
𒈶,12236,letter,MUSH OVER MUSH,⠍⠥⠩⠌⠍⠥⠩
𒈷,12237,letter,MUSH OVER MUSH TIMES A PLUS NA,⠍⠥⠩⠌⠍⠥⠩⠡⠁⠬⠝⠁
𒈸,12238,letter,MUSH CROSSING MUSH,⠍⠥⠩⠯⠍⠥⠩
𒈹,12239,letter,MUSH3,⠍⠥⠩⠒
𒈺,1223A,letter,MUSH3 TIMES A,⠍⠥⠩⠒⠡⠁
𒈻,1223B,letter,MUSH3 TIMES A PLUS DI,⠍⠥⠩⠒⠡⠁⠬⠙⠊
𒈼,1223C,letter,MUSH3 TIMES DI,⠍⠥⠩⠒⠡⠙⠊
𒈽,1223D,letter,MUSH3 GUNU,⠍⠥⠩⠒ ⠛⠥⠝⠥
𒈤,12224,letter,MAH,⠍⠁⠓
𒈣,12223,letter,MA2,⠍⠁
𒈢,12222,letter,MA GUNU,⠍⠁ ⠛⠥⠝⠥
𒈔,12214,letter,LU2 SQUARED,⠇⠥⠘⠸
𒈉,12209,letter,LU2 TIMES LA PLUS ASH,⠇⠥⠡⠇⠁⠬⠁⠩
𒈊,1220A,letter,LU2 TIMES LAGAB,⠇⠥⠡⠇⠁⠛⠁⠃
𒈋,1220B,letter,LU2 TIMES ME PLUS EN,⠇⠥⠡⠍⠑⠬⠑⠝
𒈌,1220C,letter,LU2 TIMES NE,⠇⠥⠡⠝⠑
𒈍,1220D,letter,LU2 TIMES NU,⠇⠥⠡⠝⠥
𒈎,1220E,letter,LU2 TIMES SI PLUS ASH,⠇⠥⠡⠎⠊⠬⠁⠩
𒈏,1220F,letter,LU2 TIMES SIK2 PLUS BU,⠇⠥⠡⠎⠊⠅⠬⠃⠥
𒈐,12210,letter,LU2 TIMES TUG2,⠇⠥⠡⠞⠥⠛
𒈑,12211,letter,LU2 TENU,⠇⠥ ⠞⠑⠝⠥
𒈒,12212,letter,LU2 CROSSING LU2,⠇⠥⠯⠇⠥
𒈓,12213,letter,LU2 OPPOSING LU2,⠇⠥⠫⠇⠥
𒈕,12215,letter,LU2 SHESHIG,⠇⠥ ⠩⠑⠩⠊⠛
𒈡,12221,letter,MA TIMES TAK4,⠍⠁⠡⠞⠁⠅⠲
𒈖,12216,letter,LU3,⠇⠥⠒
𒈗,12217,letter,LUGAL,⠇⠥⠛⠁⠇
𒈘,12218,letter,LUGAL OVER LUGAL,⠇⠥⠛⠁⠇⠌⠇⠥⠛⠁⠇
𒈙,12219,letter,LUGAL OPPOSING LUGAL,⠇⠥⠛⠁⠇⠫⠇⠥⠛⠁⠇
𒈚,1221A,letter,LUGAL SHESHIG,⠇⠥⠛⠁⠇ ⠩⠑⠩⠊⠛
𒈛,1221B,letter,LUH,⠇⠥⠓
𒈜,1221C,letter,LUL,⠇⠥⠇
𒈝,1221D,letter,LUM,⠇⠥⠍
𒈞,1221E,letter,LUM OVER LUM,⠇⠥⠍⠌⠇⠥⠍
𒈟,1221F,letter,LUM OVER LUM GAR OVER GAR,⠇⠥⠍⠌⠇⠥⠍ ⠛⠜⠌⠛⠜
𒈠,12220,letter,MA,⠍⠁
𒊱,122B1,letter,SHA3 TIMES GISH,⠩⠁⠒⠡⠛⠊⠩
𒊳,122B3,letter,SHA3 TIMES SHU2,⠩⠁⠒⠡⠩⠥
𒇋,121CB,letter,LAGAB TIMES IGI GUNU,⠇⠁⠛⠁⠃⠡⠊⠛⠊ ⠛⠥⠝⠥
𒍅,12345,letter,URU TIMES KI,⠥⠗⠥⠡⠅⠊
𒍇,12347,letter,URU TIMES MIN,⠥⠗⠥⠡⠍⠊⠝
𒍈,12348,letter,URU TIMES PA,⠥⠗⠥⠡⠏⠁
𒍉,12349,letter,URU TIMES SHE,⠥⠗⠥⠡⠩⠑
𒍊,1234A,letter,URU TIMES SIG4,⠥⠗⠥⠡⠎⠊⠛⠲
𒍋,1234B,letter,URU TIMES TU,⠥⠗⠥⠡⠞⠥
𒍌,1234C,letter,URU TIMES U PLUS GUD,⠥⠗⠥⠡⠥⠬⠛⠥⠙
𒍍,1234D,letter,URU TIMES UD,⠥⠗⠥⠡⠥⠙
𒍎,1234E,letter,URU TIMES URUDA,⠥⠗⠥⠡⠥⠗⠥⠙⠁
𒍏,1234F,letter,URUDA,⠥⠗⠥⠙⠁
𒍐,12350,letter,URUDA TIMES U,⠥⠗⠥⠙⠁⠡⠥
𒍑,12351,letter,USH,⠥⠩
𒍒,12352,letter,USH TIMES A,⠥⠩⠡⠁
𒍓,12353,letter,USH TIMES KU,⠥⠩⠡⠅⠥
𒍔,12354,letter,USH TIMES KUR,⠥⠩⠡⠅⠥⠗
𒍕,12355,letter,USH TIMES TAK4,⠥⠩⠡⠞⠁⠅⠲
𒍖,12356,letter,USHX,⠥⠩⠭
𒍗,12357,letter,USH2,⠥⠩
𒍘,12358,letter,USHUMX,⠥⠩⠥⠍⠭
𒍙,12359,letter,UTUKI,⠥⠞⠥⠅⠊
𒍚,1235A,letter,UZ3,⠥⠵⠒
𒍛,1235B,letter,UZ3 TIMES KASKAL,⠥⠵⠒⠡⠅⠁⠎⠅⠁⠇
𒍜,1235C,letter,UZU,⠥⠵⠥
𒍝,1235D,letter,ZA,⠵⠁
𒍞,1235E,letter,ZA TENU,⠵⠁ ⠞⠑⠝⠥
𒍟,1235F,letter,ZA SQUARED TIMES KUR,⠵⠁⠘⠸⠡⠅⠥⠗
𒍆,12346,letter,URU TIMES LUM,⠥⠗⠥⠡⠇⠥⠍
𒍄,12344,letter,URU TIMES ISH,⠥⠗⠥⠡⠊⠩
𒌨,12328,letter,UR,⠥⠗
𒍃,12343,letter,URU TIMES IM,⠥⠗⠥⠡⠊⠍
𒌪,1232A,letter,UR SHESHIG,⠥⠗ ⠩⠑⠩⠊⠛
𒌫,1232B,letter,UR2,⠥⠗
𒌬,1232C,letter,UR2 TIMES A PLUS HA,⠥⠗⠡⠁⠬⠓⠁
𒌭,1232D,letter,UR2 TIMES A PLUS NA,⠥⠗⠡⠁⠬⠝⠁
𒌮,1232E,letter,UR2 TIMES AL,⠥⠗⠡⠁⠇
𒌯,1232F,letter,UR2 TIMES HA,⠥⠗⠡⠓⠁
𒌰,12330,letter,UR2 TIMES NUN,⠥⠗⠡⠝⠥⠝
𒌱,12331,letter,UR2 TIMES U2,⠥⠗⠡⠥
𒌲,12332,letter,UR2 TIMES U2 PLUS ASH,⠥⠗⠡⠥⠬⠁⠩
𒌳,12333,letter,UR2 TIMES U2 PLUS BI,⠥⠗⠡⠥⠬⠃⠊
